"","Resample1"
"3766",37980
"3767",37993
"3768",38006
"3769",38015
"3770",38027
"3771",38028
"3772",38034
"3773",38039
"3774",38050
"3775",38060
"3776",38068
"3777",38078
"3778",38079
"3779",38088
"3780",38091
"3781",38106
"3782",38114
"3783",38125
"3784",38127
"3785",38132
"3786",38138
"3787",38143
"3788",38150
"3789",38160
"3790",38162
"3791",38165
"3792",38167
"3793",38183
"3794",38185
"3795",38186
"3796",38195
"3797",38207
"3798",38219
"3799",38224
"3800",38226
"3801",38270
"3802",38278
"3803",38279
"3804",38283
"3805",38285
"3806",38295
"3807",38298
"3808",38301
"3809",38314
"3810",38316
"3811",38320
"3812",38323
"3813",38338
"3814",38342
"3815",38345
"3816",38348
"3817",38352
"3818",38361
"3819",38377
"3820",38379
"3821",38396
"3822",38405
"3823",38412
"3824",38424
"3825",38428
"3826",38441
"3827",38444
"3828",38446
"3829",38451
"3830",38456
"3831",38471
"3832",38508
"3833",38513
"3834",38525
"3835",38546
"3836",38552
"3837",38553
"3838",38556
"3839",38577
"3840",38578
"3841",38585
"3842",38613
"3843",38622
"3844",38635
"3845",38651
"3846",38652
"3847",38668
"3848",38676
"3849",38691
"3850",38701
"3851",38704
"3852",38707
"3853",38739
"3854",38740
"3855",38742
"3856",38767
"3857",38788
"3858",38794
"3859",38812
"3860",38813
"3861",38821
"3862",38827
"3863",38832
"3864",38836
"3865",38838
"3866",38874
"3867",38886
"3868",38908
"3869",38911
"3870",38918
"3871",38933
"3872",38947
"3873",38991
"3874",39000
"3875",39018
"3876",39045
"3877",39053
"3878",39057
"3879",39073
"3880",39082
"3881",39090
"3882",39096
"3883",39099
"3884",39124
"3885",39147
"3886",39162
"3887",39203
"3888",39209
"3889",39217
"3890",39222
"3891",39225
"3892",39229
"3893",39254
"3894",39266
"3895",39295
"3896",39359
"3897",39363
"3898",39378
"3899",39391
"3900",39420
"3901",39422
"3902",39430
"3903",39477
"3904",39482
"3905",39493
"3906",39503
"3907",39512
"3908",39526
"3909",39529
"3910",39534
"3911",39546
"3912",39558
"3913",39560
"3914",39574
"3915",39586
"3916",39603
"3917",39616
"3918",39623
"3919",39626
"3920",39627
"3921",39633
"3922",39639
"3923",39647
"3924",39648
"3925",39653
"3926",39676
"3927",39677
"3928",39688
"3929",39705
"3930",39735
"3931",39737
"3932",39749
"3933",39760
"3934",39767
"3935",39777
"3936",39781
"3937",39794
"3938",39806
"3939",39811
"3940",39817
"3941",39849
"3942",39863
"3943",39877
"3944",39882
"3945",39897
"3946",39906
"3947",39909
"3948",39919
"3949",39950
"3950",39954
"3951",39960
"3952",39963
"3953",39975
"3954",39982
"3955",39984
"3956",40008
"3957",40017
"3958",40026
"3959",40028
"3960",40029
"3961",40046
"3962",40052
"3963",40055
"3964",40078
"3965",40086
"3966",40092
"3967",40104
"3968",40111
"3969",40136
"3970",40151
"3971",40161
"3972",40170
"3973",40180
"3974",40186
"3975",40214
"3976",40218
"3977",40222
"3978",40249
"3979",40261
"3980",40269
"3981",40290
"3982",40302
"3983",40308
"3984",40322
"3985",40342
"3986",40344
"3987",40352
"3988",40353
"3989",40362
"3990",40373
"3991",40394
"3992",40419
"3993",40420
"3994",40437
"3995",40450
"3996",40470
"3997",40494
"3998",40500
"3999",40505
"4000",40516
"4001",40520
"4002",40525
"4003",40545
"4004",40561
"4005",40570
"4006",40589
"4007",40601
"4008",40611
"4009",40616
"4010",40627
"4011",40636
"4012",40639
"4013",40650
"4014",40651
"4015",40653
"4016",40667
"4017",40669
"4018",40679
"4019",40690
"4020",40691
"4021",40698
"4022",40704
"4023",40724
"4024",40731
"4025",40733
"4026",40736
"4027",40739
"4028",40740
"4029",40752
"4030",40757
"4031",40765
"4032",40766
"4033",40802
"4034",40817
"4035",40825
"4036",40831
"4037",40832
"4038",40850
"4039",40852
"4040",40856
"4041",40873
"4042",40888
"4043",40895
"4044",40912
"4045",40915
"4046",40927
"4047",40934
"4048",40957
"4049",40976
"4050",40992
"4051",40999
"4052",41007
"4053",41017
"4054",41021
"4055",41025
"4056",41037
"4057",41068
"4058",41104
"4059",41113
"4060",41122
"4061",41141
"4062",41155
"4063",41159
"4064",41193
"4065",41197
"4066",41217
"4067",41254
"4068",41256
"4069",41271
"4070",41287
"4071",41295
"4072",41324
"4073",41348
"4074",41358
"4075",41361
"4076",41365
"4077",41382
"4078",41418
"4079",41420
"4080",41421
"4081",41422
"4082",41424
"4083",41432
"4084",41436
"4085",41441
"4086",41442
"4087",41450
"4088",41455
"4089",41456
"4090",41459
"4091",41460
"4092",41489
"4093",41521
"4094",41522
"4095",41526
"4096",41537
"4097",41544
"4098",41548
"4099",41558
"4100",41578
"4101",41590
"4102",41605
"4103",41622
"4104",41655
"4105",41663
"4106",41668
"4107",41714
"4108",41728
"4109",41733
"4110",41744
"4111",41747
"4112",41759
"4113",41764
"4114",41769
"4115",41783
"4116",41784
"4117",41794
"4118",41831
"4119",41835
"4120",41837
"4121",41842
"4122",41846
"4123",41852
"4124",41861
"4125",41867
"4126",41873
"4127",41881
"4128",41912
"4129",41921
"4130",41927
"4131",41936
"4132",41950
"4133",41954
"4134",41966
"4135",41977
"4136",41981
"4137",41982
"4138",41994
"4139",42016
"4140",42028
"4141",42040
"4142",42051
"4143",42082
"4144",42100
"4145",42101
"4146",42106
"4147",42107
"4148",42113
"4149",42150
"4150",42153
"4151",42166
"4152",42172
"4153",42190
"4154",42211
"4155",42231
"4156",42232
"4157",42234
"4158",42243
"4159",42258
"4160",42260
"4161",42264
"4162",42306
"4163",42309
"4164",42310
"4165",42321
"4166",42323
"4167",42346
"4168",42356
"4169",42386
"4170",42387
"4171",42399
"4172",42407
"4173",42409
"4174",42416
"4175",42422
"4176",42498
"4177",42500
"4178",42510
"4179",42511
"4180",42515
"4181",42530
"4182",42540
"4183",42558
"4184",42563
"4185",42597
"4186",42612
"4187",42613
"4188",42623
"4189",42630
"4190",42633
"4191",42644
"4192",42656
"4193",42664
"4194",42671
"4195",42672
"4196",42678
"4197",42684
"4198",42697
"4199",42699
"4200",42713
"4201",42715
"4202",42721
"4203",42729
"4204",42754
"4205",42756
"4206",42800
"4207",42818
"4208",42819
"4209",42820
"4210",42827
"4211",42840
"4212",42843
"4213",42857
"4214",42870
"4215",42876
"4216",42885
"4217",42897
"4218",42905
"4219",42921
"4220",42922
"4221",42927
"4222",42931
"4223",42940
"4224",42949
"4225",42967
"4226",42970
"4227",42979
"4228",42999
"4229",43011
"4230",43013
"4231",43017
"4232",43038
"4233",43042
"4234",43062
"4235",43067
"4236",43075
"4237",43085
"4238",43090
"4239",43109
"4240",43111
"4241",43117
"4242",43122
"4243",43130
"4244",43138
"4245",43157
"4246",43165
"4247",43170
"4248",43171
"4249",43172
"4250",43175
"4251",43185
"4252",43189
"4253",43193
"4254",43197
"4255",43199
"4256",43206
"4257",43211
"4258",43220
"4259",43240
"4260",43263
"4261",43265
"4262",43269
"4263",43272
"4264",43280
"4265",43291
"4266",43305
"4267",43311
"4268",43321
"4269",43325
"4270",43336
"4271",43338
"4272",43339
"4273",43341
"4274",43348
"4275",43354
"4276",43356
"4277",43365
"4278",43367
"4279",43381
"4280",43406
"4281",43420
"4282",43433
"4283",43438
"4284",43448
"4285",43458
"4286",43469
"4287",43494
"4288",43502
"4289",43506
"4290",43508
"4291",43512
"4292",43513
"4293",43517
"4294",43525
"4295",43528
"4296",43539
"4297",43541
"4298",43556
"4299",43585
"4300",43595
"4301",43619
"4302",43622
"4303",43638
"4304",43653
"4305",43655
"4306",43658
"4307",43664
"4308",43666
"4309",43688
"4310",43690
"4311",43691
"4312",43693
"4313",43694
"4314",43719
"4315",43725
"4316",43734
"4317",43751
"4318",43765
"4319",43773
"4320",43782
"4321",43799
"4322",43810
"4323",43819
"4324",43826
"4325",43850
"4326",43854
"4327",43875
"4328",43879
"4329",43885
"4330",43932
"4331",43938
"4332",43951
"4333",43961
"4334",43965
"4335",43970
"4336",43973
"4337",43994
"4338",43999
"4339",44018
"4340",44024
"4341",44027
"4342",44056
"4343",44070
"4344",44075
"4345",44086
"4346",44094
"4347",44116
"4348",44117
"4349",44141
"4350",44142
"4351",44144
"4352",44149
"4353",44155
"4354",44159
"4355",44172
"4356",44191
"4357",44237
"4358",44244
"4359",44246
"4360",44271
"4361",44285
"4362",44288
"4363",44289
"4364",44295
"4365",44310
"4366",44319
"4367",44344
"4368",44345
"4369",44346
"4370",44353
"4371",44375
"4372",44389
"4373",44401
"4374",44414
"4375",44417
"4376",44422
"4377",44425
"4378",44431
"4379",44464
"4380",44467
"4381",44492
"4382",44511
"4383",44513
"4384",44522
"4385",44533
"4386",44540
"4387",44553
"4388",44564
"4389",44573
"4390",44596
"4391",44598
"4392",44601
"4393",44607
"4394",44611
"4395",44616
"4396",44617
"4397",44626
"4398",44632
"4399",44638
"4400",44649
"4401",44674
"4402",44677
"4403",44680
"4404",44682
"4405",44692
"4406",44696
"4407",44703
"4408",44720
"4409",44759
"4410",44763
"4411",44785
"4412",44787
"4413",44790
"4414",44791
"4415",44797
"4416",44822
"4417",44872
"4418",44914
"4419",44923
"4420",44930
"4421",44949
"4422",44959
"4423",44960
"4424",44970
"4425",44972
"4426",44976
"4427",44990
"4428",45013
"4429",45017
"4430",45027
"4431",45031
"4432",45051
"4433",45060
"4434",45074
"4435",45085
"4436",45102
"4437",45109
"4438",45122
"4439",45136
"4440",45140
"4441",45168
"4442",45169
"4443",45178
"4444",45193
"4445",45234
"4446",45245
"4447",45265
"4448",45276
"4449",45281
"4450",45296
"4451",45312
"4452",45330
"4453",45331
"4454",45334
"4455",45336
"4456",45352
"4457",45356
"4458",45363
"4459",45377
"4460",45395
"4461",45428
"4462",45434
"4463",45442
"4464",45456
"4465",45465
"4466",45478
"4467",45505
"4468",45512
"4469",45517
"4470",45549
"4471",45576
"4472",45577
"4473",45584
"4474",45602
"4475",45621
"4476",45624
"4477",45627
"4478",45649
"4479",45660
"4480",45661
"4481",45666
"4482",45669
"4483",45673
"4484",45684
"4485",45693
"4486",45708
"4487",45724
"4488",45735
"4489",45747
"4490",45753
"4491",45768
"4492",45791
"4493",45807
"4494",45813
"4495",45835
"4496",45871
"4497",45874
"4498",45876
"4499",45880
"4500",45901
"4501",45903
"4502",45909
"4503",45924
"4504",45943
"4505",45950
"4506",45951
"4507",45954
"4508",45955
"4509",45956
"4510",45957
"4511",45964
"4512",45967
"4513",45975
"4514",45977
"4515",45980
"4516",45981
"4517",45989
"4518",45991
"4519",45996
"4520",45998
"4521",46008
"4522",46012
"4523",46035
"4524",46046
"4525",46054
"4526",46063
"4527",46101
"4528",46103
"4529",46104
"4530",46131
"4531",46146
"4532",46183
"4533",46187
"4534",46188
"4535",46195
"4536",46203
"4537",46207
"4538",46208
"4539",46212
"4540",46235
"4541",46236
"4542",46245
"4543",46248
"4544",46272
"4545",46277
"4546",46281
"4547",46289
"4548",46292
"4549",46299
"4550",46301
"4551",46304
"4552",46328
"4553",46341
"4554",46353
"4555",46360
"4556",46361
"4557",46370
"4558",46374
"4559",46386
"4560",46395
"4561",46402
"4562",46404
"4563",46409
"4564",46420
"4565",46428
"4566",46429
"4567",46440
"4568",46441
"4569",46446
"4570",46447
"4571",46454
"4572",46465
"4573",46473
"4574",46477
"4575",46491
"4576",46498
"4577",46519
"4578",46540
"4579",46542
"4580",46564
"4581",46579
"4582",46580
"4583",46588
"4584",46594
"4585",46622
"4586",46623
"4587",46644
"4588",46650
"4589",46654
"4590",46667
"4591",46670
"4592",46694
"4593",46701
"4594",46707
"4595",46708
"4596",46721
"4597",46728
"4598",46736
"4599",46749
"4600",46751
"4601",46753
"4602",46757
"4603",46788
"4604",46790
"4605",46791
"4606",46806
"4607",46819
"4608",46837
"4609",46871
"4610",46884
"4611",46891
"4612",46897
"4613",46901
"4614",46903
"4615",46909
"4616",46914
"4617",46915
"4618",46926
"4619",46934
"4620",46939
"4621",46946
"4622",46947
"4623",46951
"4624",46952
"4625",46986
"4626",47002
"4627",47003
"4628",47021
"4629",47032
"4630",47033
"4631",47045
"4632",47047
"4633",47049
"4634",47057
"4635",47067
"4636",47068
"4637",47076
"4638",47081
"4639",47084
"4640",47104
"4641",47117
"4642",47126
"4643",47130
"4644",47139
"4645",47143
"4646",47148
"4647",47163
"4648",47167
"4649",47176
"4650",47183
"4651",47190
"4652",47195
"4653",47199
"4654",47205
"4655",47214
"4656",47215
"4657",47218
"4658",47228
"4659",47238
"4660",47250
"4661",47251
"4662",47259
"4663",47263
"4664",47264
"4665",47301
"4666",47320
"4667",47326
"4668",47328
"4669",47331
"4670",47335
"4671",47339
"4672",47353
"4673",47355
"4674",47360
"4675",47365
"4676",47383
"4677",47404
"4678",47410
"4679",47413
"4680",47417
"4681",47420
"4682",47452
"4683",47482
"4684",47483
"4685",47494
"4686",47495
"4687",47508
"4688",47525
"4689",47534
"4690",47542
"4691",47583
"4692",47594
"4693",47597
"4694",47602
"4695",47609
"4696",47619
"4697",47629
"4698",47641
"4699",47670
"4700",47671
"4701",47680
"4702",47725
"4703",47744
"4704",47754
"4705",47761
"4706",47775
"4707",47777
"4708",47786
"4709",47797
"4710",47801
"4711",47817
"4712",47825
"4713",47852
"4714",47870
"4715",47893
"4716",47902
"4717",47914
"4718",47928
"4719",47938
"4720",47944
"4721",47970
"4722",47974
"4723",47977
"4724",48004
"4725",48038
"4726",48041
"4727",48045
"4728",48048
"4729",48055
"4730",48056
"4731",48064
"4732",48085
"4733",48104
"4734",48113
"4735",48117
"4736",48119
"4737",48123
"4738",48155
"4739",48165
"4740",48175
"4741",48185
"4742",48191
"4743",48193
"4744",48194
"4745",48204
"4746",48225
"4747",48226
"4748",48227
"4749",48231
"4750",48237
"4751",48242
"4752",48246
"4753",48248
"4754",48270
"4755",48290
"4756",48295
"4757",48304
"4758",48309
"4759",48316
"4760",48327
"4761",48336
"4762",48345
"4763",48346
"4764",48347
"4765",48356
"4766",48362
"4767",48390
"4768",48392
"4769",48405
"4770",48432
"4771",48440
"4772",48443
"4773",48447
"4774",48473
"4775",48483
"4776",48484
"4777",48485
"4778",48486
"4779",48496
"4780",48506
"4781",48509
"4782",48527
"4783",48531
"4784",48533
"4785",48541
"4786",48542
"4787",48544
"4788",48552
"4789",48553
"4790",48557
"4791",48579
"4792",48585
"4793",48592
"4794",48607
"4795",48609
"4796",48618
"4797",48642
"4798",48647
"4799",48653
"4800",48669
"4801",48670
"4802",48683
"4803",48697
"4804",48699
"4805",48706
"4806",48716
"4807",48725
"4808",48727
"4809",48729
"4810",48750
"4811",48765
"4812",48769
"4813",48774
"4814",48779
"4815",48794
"4816",48802
"4817",48816
"4818",48843
"4819",48850
"4820",48856
"4821",48874
"4822",48879
"4823",48881
"4824",48885
"4825",48892
"4826",48917
"4827",48920
"4828",48921
"4829",48929
"4830",48950
"4831",48964
"4832",48972
"4833",48973
"4834",48975
"4835",48996
"4836",49002
"4837",49035
"4838",49053
"4839",49062
"4840",49064
"4841",49097
"4842",49099
"4843",49104
"4844",49110
"4845",49115
"4846",49117
"4847",49125
"4848",49126
"4849",49132
"4850",49151
"4851",49186
"4852",49188
"4853",49201
"4854",49213
"4855",49214
"4856",49225
"4857",49248
"4858",49256
"4859",49257
"4860",49264
"4861",49267
"4862",49268
"4863",49273
"4864",49274
"4865",49275
"4866",49276
"4867",49279
"4868",49281
"4869",49283
"4870",49289
"4871",49304
"4872",49307
"4873",49313
"4874",49316
"4875",49343
"4876",49357
"4877",49360
"4878",49362
"4879",49367
"4880",49370
"4881",49371
"4882",49373
"4883",49375
"4884",49394
"4885",49424
"4886",49448
"4887",49455
"4888",49466
"4889",49469
"4890",49478
"4891",49496
"4892",49504
"4893",49528
"4894",49547
"4895",49548
"4896",49560
"4897",49565
"4898",49571
"4899",49578
"4900",49595
"4901",49598
"4902",49608
"4903",49610
"4904",49625
"4905",49634
"4906",49648
"4907",49652
"4908",49670
"4909",49685
"4910",49688
"4911",49714
"4912",49726
"4913",49741
"4914",49766
"4915",49777
"4916",49778
"4917",49784
"4918",49792
"4919",49793
"4920",49797
"4921",49802
"4922",49809
"4923",49814
"4924",49816
"4925",49817
"4926",49820
"4927",49850
"4928",49872
"4929",49873
"4930",49878
"4931",49896
"4932",49905
"4933",49909
"4934",49916
"4935",49925
"4936",49955
"4937",49957
"4938",49985
"4939",49998
"4940",50001
"4941",50005
"4942",50006
"4943",50015
"4944",50023
"4945",50031
"4946",50051
"4947",50071
"4948",50082
"4949",50087
"4950",50099
"4951",50101
"4952",50115
"4953",50119
"4954",50139
"4955",50141
"4956",50144
"4957",50196
"4958",50198
"4959",50202
"4960",50213
"4961",50231
"4962",50250
"4963",50257
"4964",50271
"4965",50280
"4966",50281
"4967",50300
"4968",50304
"4969",50306
"4970",50311
"4971",50312
"4972",50335
"4973",50342
"4974",50345
"4975",50361
"4976",50379
"4977",50411
"4978",50413
"4979",50416
"4980",50431
"4981",50436
"4982",50448
"4983",50455
"4984",50468
"4985",50469
"4986",50473
"4987",50505
"4988",50507
"4989",50524
"4990",50526
"4991",50543
"4992",50546
"4993",50549
"4994",50570
"4995",50572
"4996",50573
"4997",50579
"4998",50580
"4999",50601
"5000",50608
"5001",50616
"5002",50618
"5003",50623
"5004",50629
"5005",50637
"5006",50681
"5007",50688
"5008",50722
"5009",50726
"5010",50759
"5011",50765
"5012",50780
"5013",50783
"5014",50789
"5015",50811
"5016",50813
"5017",50819
"5018",50828
"5019",50844
"5020",50857
"5021",50871
"5022",50876
"5023",50893
"5024",50895
"5025",50908
"5026",50913
"5027",50919
"5028",50927
"5029",50930
"5030",50936
"5031",50938
"5032",50966
"5033",50977
"5034",50991
"5035",51000
"5036",51015
"5037",51037
"5038",51049
"5039",51064
"5040",51084
"5041",51100
"5042",51102
"5043",51118
"5044",51121
"5045",51132
"5046",51148
"5047",51149
"5048",51150
"5049",51151
"5050",51166
"5051",51167
"5052",51185
"5053",51186
"5054",51200
"5055",51219
"5056",51221
"5057",51224
"5058",51227
"5059",51228
"5060",51233
"5061",51247
"5062",51250
"5063",51253
"5064",51268
"5065",51288
"5066",51294
"5067",51296
"5068",51332
"5069",51339
"5070",51344
"5071",51347
"5072",51350
"5073",51362
"5074",51363
"5075",51426
"5076",51427
"5077",51442
"5078",51450
"5079",51464
"5080",51466
"5081",51484
"5082",51492
"5083",51497
"5084",51510
"5085",51511
"5086",51521
"5087",51525
"5088",51529
"5089",51556
"5090",51562
"5091",51572
"5092",51575
"5093",51577
"5094",51585
"5095",51600
"5096",51613
"5097",51635
"5098",51658
"5099",51659
"5100",51662
"5101",51664
"5102",51667
"5103",51698
"5104",51705
"5105",51722
"5106",51783
"5107",51795
"5108",51801
"5109",51811
"5110",51818
"5111",51821
"5112",51837
"5113",51839
"5114",51848
"5115",51866
"5116",51869
"5117",51872
"5118",51875
"5119",51882
"5120",51896
"5121",51898
"5122",51934
"5123",51947
"5124",51952
"5125",51954
"5126",51962
"5127",51968
"5128",51987
"5129",51992
"5130",52013
"5131",52015
"5132",52055
"5133",52059
"5134",52064
"5135",52072
"5136",52074
"5137",52080
"5138",52103
"5139",52104
"5140",52112
"5141",52118
"5142",52121
"5143",52140
"5144",52154
"5145",52163
"5146",52187
"5147",52196
"5148",52203
"5149",52211
"5150",52218
"5151",52219
"5152",52224
"5153",52255
"5154",52266
"5155",52267
"5156",52268
"5157",52269
"5158",52290
"5159",52300
"5160",52305
"5161",52310
"5162",52315
"5163",52335
"5164",52354
"5165",52355
"5166",52362
"5167",52375
"5168",52389
"5169",52390
"5170",52395
"5171",52399
"5172",52400
"5173",52413
"5174",52419
"5175",52428
"5176",52442
"5177",52490
"5178",52500
"5179",52512
"5180",52530
"5181",52532
"5182",52537
"5183",52568
"5184",52602
"5185",52624
"5186",52632
"5187",52655
"5188",52658
"5189",52666
"5190",52682
"5191",52692
"5192",52719
"5193",52724
"5194",52739
"5195",52744
"5196",52766
"5197",52771
"5198",52773
"5199",52782
"5200",52796
"5201",52798
"5202",52804
"5203",52807
"5204",52809
"5205",52818
"5206",52821
"5207",52846
"5208",52858
"5209",52862
"5210",52873
"5211",52899
"5212",52902
"5213",52909
"5214",52910
"5215",52926
"5216",52928
"5217",52942
"5218",52947
"5219",52950
"5220",52972
"5221",52981
"5222",53012
"5223",53015
"5224",53020
"5225",53021
"5226",53057
"5227",53065
"5228",53087
"5229",53097
"5230",53099
"5231",53135
"5232",53136
"5233",53137
"5234",53144
"5235",53151
"5236",53172
"5237",53175
"5238",53201
"5239",53204
"5240",53207
"5241",53226
"5242",53235
"5243",53238
"5244",53240
"5245",53248
"5246",53269
"5247",53272
"5248",53275
"5249",53285
"5250",53289
"5251",53298
"5252",53299
"5253",53303
"5254",53313
"5255",53317
"5256",53334
"5257",53337
"5258",53342
"5259",53348
"5260",53352
"5261",53355
"5262",53405
"5263",53412
"5264",53432
"5265",53466
"5266",53469
"5267",53483
"5268",53494
"5269",53516
"5270",53525
"5271",53530
"5272",53532
"5273",53545
"5274",53572
"5275",53589
"5276",53614
"5277",53618
"5278",53630
"5279",53641
"5280",53657
"5281",53668
"5282",53671
"5283",53672
"5284",53681
"5285",53682
"5286",53692
"5287",53696
"5288",53742
"5289",53745
"5290",53754
"5291",53755
"5292",53766
"5293",53780
"5294",53782
"5295",53790
"5296",53810
"5297",53814
"5298",53857
"5299",53870
"5300",53879
"5301",53892
"5302",53894
"5303",53900
"5304",53912
"5305",53915
"5306",53918
"5307",53925
"5308",53930
"5309",53932
"5310",53937
"5311",53949
"5312",53979
"5313",53989
"5314",53992
"5315",54012
"5316",54016
"5317",54022
"5318",54030
"5319",54033
"5320",54035
"5321",54064
"5322",54081
"5323",54085
"5324",54105
"5325",54114
"5326",54115
"5327",54118
"5328",54121
"5329",54130
"5330",54146
"5331",54147
"5332",54158
"5333",54176
"5334",54192
"5335",54194
"5336",54196
"5337",54203
"5338",54205
"5339",54226
"5340",54237
"5341",54238
"5342",54241
"5343",54254
"5344",54265
"5345",54280
"5346",54309
"5347",54340
"5348",54343
"5349",54348
"5350",54352
"5351",54397
"5352",54399
"5353",54404
"5354",54461
"5355",54492
"5356",54526
"5357",54534
"5358",54539
"5359",54562
"5360",54563
"5361",54567
"5362",54568
"5363",54571
"5364",54606
"5365",54618
"5366",54633
"5367",54646
"5368",54656
"5369",54657
"5370",54661
"5371",54685
"5372",54697
"5373",54717
"5374",54718
"5375",54726
"5376",54730
"5377",54733
"5378",54740
"5379",54746
"5380",54754
"5381",54759
"5382",54766
"5383",54777
"5384",54811
"5385",54818
"5386",54824
"5387",54839
"5388",54852
"5389",54854
"5390",54855
"5391",54864
"5392",54883
"5393",54898
"5394",54905
"5395",54913
"5396",54923
"5397",54926
"5398",54929
"5399",54933
"5400",54948
"5401",54954
"5402",54957
"5403",54977
"5404",54987
"5405",55001
"5406",55081
"5407",55126
"5408",55130
"5409",55137
"5410",55169
"5411",55176
"5412",55182
"5413",55226
"5414",55231
"5415",55235
"5416",55246
"5417",55252
"5418",55253
"5419",55256
"5420",55261
"5421",55269
"5422",55272
"5423",55305
"5424",55312
"5425",55321
"5426",55327
"5427",55344
"5428",55372
"5429",55391
"5430",55399
"5431",55410
"5432",55425
"5433",55431
"5434",55433
"5435",55436
"5436",55437
"5437",55461
"5438",55472
"5439",55474
"5440",55481
"5441",55486
"5442",55487
"5443",55489
"5444",55491
"5445",55493
"5446",55502
"5447",55506
"5448",55516
"5449",55522
"5450",55545
"5451",55568
"5452",55595
"5453",55629
"5454",55632
"5455",55649
"5456",55658
"5457",55659
"5458",55675
"5459",55686
"5460",55690
"5461",55700
"5462",55707
"5463",55711
"5464",55713
"5465",55714
"5466",55717
"5467",55734
"5468",55736
"5469",55746
"5470",55756
"5471",55769
"5472",55775
"5473",55782
"5474",55783
"5475",55786
"5476",55788
"5477",55802
"5478",55803
"5479",55812
"5480",55834
"5481",55838
"5482",55848
"5483",55867
"5484",55884
"5485",55894
"5486",55897
"5487",55919
"5488",55925
"5489",55932
"5490",55934
"5491",55949
"5492",55950
"5493",55964
"5494",55966
"5495",55974
"5496",55975
"5497",55980
"5498",55984
"5499",55990
"5500",55991
"5501",55995
"5502",55996
"5503",55998
"5504",55999
"5505",56016
"5506",56029
"5507",56042
"5508",56045
"5509",56060
"5510",56069
"5511",56082
"5512",56091
"5513",56097
"5514",56106
"5515",56120
"5516",56121
"5517",56167
"5518",56169
"5519",56170
"5520",56175
"5521",56181
"5522",56214
"5523",56223
"5524",56225
"5525",56226
"5526",56243
"5527",56268
"5528",56291
"5529",56292
"5530",56297
"5531",56300
"5532",56301
"5533",56303
"5534",56306
"5535",56319
"5536",56320
"5537",56322
"5538",56340
"5539",56347
"5540",56357
"5541",56364
"5542",56377
"5543",56391
"5544",56400
"5545",56424
"5546",56428
"5547",56434
"5548",56451
"5549",56468
"5550",56479
"5551",56506
"5552",56519
"5553",56522
"5554",56539
"5555",56583
"5556",56586
"5557",56590
"5558",56601
"5559",56603
"5560",56604
"5561",56620
"5562",56623
"5563",56630
"5564",56644
"5565",56657
"5566",56659
"5567",56682
"5568",56689
"5569",56697
"5570",56711
"5571",56720
"5572",56730
"5573",56737
"5574",56741
"5575",56750
"5576",56751
"5577",56782
"5578",56786
"5579",56790
"5580",56815
"5581",56827
"5582",56850
"5583",56870
"5584",56880
"5585",56888
"5586",56905
"5587",56930
"5588",56935
"5589",56955
"5590",56971
"5591",56975
"5592",56979
"5593",56982
"5594",56985
"5595",56999
"5596",57018
"5597",57033
"5598",57047
"5599",57049
"5600",57053
"5601",57054
"5602",57067
"5603",57068
"5604",57075
"5605",57082
"5606",57087
"5607",57111
"5608",57134
"5609",57144
"5610",57159
"5611",57163
"5612",57175
"5613",57179
"5614",57184
"5615",57201
"5616",57202
"5617",57205
"5618",57209
"5619",57220
"5620",57221
"5621",57241
"5622",57252
"5623",57256
"5624",57259
"5625",57276
"5626",57290
"5627",57292
"5628",57293
"5629",57325
"5630",57330
"5631",57343
"5632",57357
"5633",57358
"5634",57372
"5635",57380
"5636",57398
"5637",57406
"5638",57408
"5639",57438
"5640",57439
"5641",57445
"5642",57454
"5643",57463
"5644",57472
"5645",57477
"5646",57483
"5647",57492
"5648",57494
"5649",57498
"5650",57514
"5651",57520
"5652",57527
"5653",57534
"5654",57537
"5655",57539
"5656",57571
"5657",57581
"5658",57585
"5659",57589
"5660",57594
"5661",57595
"5662",57599
"5663",57619
"5664",57629
"5665",57648
"5666",57684
"5667",57686
"5668",57689
"5669",57701
"5670",57731
"5671",57752
"5672",57756
"5673",57765
"5674",57780
"5675",57783
"5676",57802
"5677",57803
"5678",57808
"5679",57811
"5680",57829
"5681",57836
"5682",57844
"5683",57855
"5684",57856
"5685",57864
"5686",57869
"5687",57875
"5688",57881
"5689",57914
"5690",57932
"5691",57933
"5692",57934
"5693",57937
"5694",57946
"5695",57952
"5696",57969
"5697",57992
"5698",57999
"5699",58014
"5700",58016
"5701",58017
"5702",58023
"5703",58031
"5704",58046
"5705",58053
"5706",58057
"5707",58067
"5708",58076
"5709",58089
"5710",58101
"5711",58105
"5712",58111
"5713",58112
"5714",58137
"5715",58140
"5716",58147
"5717",58169
"5718",58180
"5719",58196
"5720",58213
"5721",58225
"5722",58226
"5723",58238
"5724",58248
"5725",58253
"5726",58268
"5727",58271
"5728",58291
"5729",58305
"5730",58326
"5731",58332
"5732",58364
"5733",58366
"5734",58376
"5735",58397
"5736",58423
"5737",58443
"5738",58469
"5739",58487
"5740",58492
"5741",58493
"5742",58520
"5743",58555
"5744",58556
"5745",58559
"5746",58573
"5747",58580
"5748",58587
"5749",58588
"5750",58602
"5751",58619
"5752",58647
"5753",58649
"5754",58651
"5755",58663
"5756",58673
"5757",58680
"5758",58684
"5759",58695
"5760",58710
"5761",58723
"5762",58737
"5763",58745
